Time,FCC.TIC1303.PV.csv,FCC.PI1301.PV.csv,FCC.FIC1311.PV.csv,FCC.TIC1402.PV.csv,FCC.TIC1402-1.PV.csv,FCC.FI1400.PV.csv,FCC.FIC1402-1.PV.csv,FCC.FVC1402.PV.csv,FCC.TI1419.PV.csv,FCC.LIC1404.PV.csv,FCC.TI1418.PV.csv,FCC.PDI1414.PV.csv,wdqy
2021/1/1 7:00,asd,0,0,0,0,0,0,0,0,0,0,0,205.5
2021/1/1 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197.5
2021/1/2 7:00,125.8629,0.1944834,0,167.411,167.4396,0.3293586,80.8812,81.20339,0,53.64992,161.8468,0,194
2021/1/2 17:00,126.931,0.1942926,0,171.6669,171.6597,0,77.87809,78.07963,165.8556,52.78371,165.7554,110.1687,200
2021/1/3 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199
2021/1/3 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/4 7:00,127.8819,0.1948231,0,169.5354,169.4281,0.3464343,79.23932,79.10735,0,49.49648,163.1246,110.1711,202
2021/1/4 17:00,127.4711,0.1944417,0,167.6685,167.6399,0,79.96799,80.04018,161.8969,53.95577,161.7967,110.1687,197.5
2021/1/5 7:00,0,0,0,0,0,0,0,0,0,0,0,0,201.5
2021/1/5 17:00,0,0,0,0,0,0,0,0,0,0,0,0,201.5
2021/1/6 7:00,127.358,0.1937204,0,167.0391,167.0534,0,82.03338,82.1575,161.471,53.28253,161.2705,110.1735,202
2021/1/6 17:00,126.9765,0.1945072,0,171.0803,170.8729,0.3293586,82.17105,82.04113,165.1541,51.94862,0,110.1663,197
2021/1/7 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/1/7 17:00,0,0,0,0,0,0,0,0,0,0,0,0,200.5
2021/1/8 7:00,131.1061,0.1941377,0,169.6784,169.657,0.3293586,80.72499,80.81231,163.776,50.01915,163.5004,0,197
2021/1/8 17:00,130.1231,0.19378,0,169.9145,169.9431,0.3293586,81.03471,80.80579,163.776,48.00794,163.751,0,197
2021/1/9 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/9 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/10 7:00,131.25,0.1945847,0,170.6583,170.6583,0.3464343,78.29334,78.26902,164.653,49.73518,164.4776,110.1711,193
2021/1/10 17:00,130.3872,0.1946265,0,170.6369,170.6369,0.3293586,78.12513,78.08642,164.5777,49.65009,164.4275,110.1711,200.5
2021/1/11 7:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/1/11 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/12 7:00,128.4608,0.1954549,0,169.3852,169.285,0.3293586,75.77016,75.70592,163.7009,49.45661,163.5004,0,197
2021/1/12 17:00,129.3886,0.1945191,0,167.8044,0,0,76.01771,76.0065,162.2727,53.73828,162.1976,0,199
2021/1/13 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/1/13 17:00,0,0,0,0,0,0,0,0,0,0,0,0,199.5
2021/1/14 7:00,129.4901,0.1947814,0,167.9189,167.8187,0.3464343,85.02995,84.89819,162.0974,53.64318,0,110.1711,199.5
2021/1/14 17:00,131.1278,0.1943522,0,168.7986,168.7843,0.3293586,84.89102,84.89067,162.9242,50.97956,162.6486,0,198.5
2021/1/15 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/15 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/16 7:00,128.4547,0.1948768,0,169.3279,169.3279,0.3293586,84.69235,84.83278,163.4754,49.12381,163.2499,110.1687,197
2021/1/16 17:00,129.8893,0.1953953,0,167.1392,167.1893,0.362707,82.23458,82.09946,161.3707,53.05527,161.1703,0,197
2021/1/17 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/17 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/18 7:00,130.9986,0.1949364,0,167.0319,167.0605,0,82.30511,82.31754,161.2204,55.21729,161.0952,0,197
2021/1/18 17:00,124.5857,0.1954073,0,165.9519,165.9447,0,82.91014,83.00457,159.2912,47.85198,0,0,197
2021/1/19 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/19 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/20 7:00,128.4975,0.1943046,0,168.9417,168.7843,0.3464343,82.9716,83.03297,162.9993,48.62072,0,110.1663,197.5
2021/1/20 17:00,125.353,0.193029,0,168.6627,168.7772,0.3113478,85.05701,85.28909,163.0745,46.4334,162.7738,0,195
2021/1/21 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/21 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198.5
2021/1/22 7:00,130.4924,0.1938694,0,169.5354,169.5354,0,83.15585,82.92163,163.4002,45.34333,163.1998,110.1663,197
2021/1/22 17:00,130.6193,0.1935655,0,167.7758,167.7472,0,81.26374,81.37207,161.3707,47.03351,161.3457,110.1615,195
2021/1/23 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/23 17:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/1/24 7:00,127.4315,0.1939887,0,169.8,169.9431,0,81.08566,81.0807,0,47.78539,163.6257,0,197.5
2021/1/24 17:00,129.1392,0.1939767,0,169.4424,169.3852,0.3293586,81.01866,81.06549,163.3501,48.08886,163.2749,110.1615,197
2021/1/25 7:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/25 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197.5
2021/1/26 7:00,129.259,0.194537,0,168.9274,168.9345,0,80.92386,80.86774,162.7237,47.43327,162.5484,110.1639,199.5
2021/1/26 17:00,131.1467,0.1940602,0,168.6842,168.8272,0.3464343,84.88148,84.92922,0,47.05646,162.2477,110.1639,199
2021/1/27 7:00,0,0,0,0,0,0,0,0,0,0,0,0,198
2021/1/27 17:00,0,0,0,0,0,0,0,0,0,0,0,0,197
2021/1/28 7:00,128.7699,0.1941079,0,169.4352,169.5497,0,81.00987,81.08447,163.2499,47.24152,0,110.1711,197
2021/1/28 17:00,132.0043,0.1932734,0,167.5255,167.5755,0.3293586,80.0724,79.94902,161.3457,45.78826,161.1202,110.1663,197
