序号,Name,TagNo,仪表描述,单位,量程上限,量程下限,SourceTag,CollectorName
1,HLU1_FHC3123A_PV,,,,99999,-99,FHC3123A.MV,RDI_HLU1
2,HLU1_FHC3123C_PV,,,,99999,-99,FHC3123C.MV,RDI_HLU1
3,HLU1_FI3105B_PV,,P3102出口流量指示,TONNE/HR,200,0,FI3105B.PV,RDI_HLU1
4,HLU1_FI3106_PV,,E3101A/B旁路流量指示,TONNE/HR,135,0,FI3106.PV,RDI_HLU1
5,HLU1_FI3114_PV,,R3101急冷氢流量指示,NM3/HR,26000,0,FI3114.PV,RDI_HLU1
6,HLU1_FI3115_PV,,R3102入口急冷氢流量指示,NM3/HR,30000,0,FI3115.PV,RDI_HLU1
7,HLU1_FI3116_PV,,R3102第二床层入口急冷氢流量指示,NM3/HR,30000,0,FI3116.PV,RDI_HLU1
8,HLU1_FI3117_PV,,R3102第三床层入口急冷氢流量指示,NM3/HR,36000,-10,FI3117.PV,RDI_HLU1
9,HLU1_FI3118_PV,,R3102急冷氢流量指示,NM3/HR,40000,0,FI3118.PV,RDI_HLU1
10,HLU1_FI3119A_PV,,E3103入口流量指示,NM3/HR,280000,0,FI3119A.PV,RDI_HLU1
11,HLU1_FI3119B_PV,,E3103入口流量指示,NM3/HR,280000,0,FI3119B.PV,RDI_HLU1
12,HLU1_FI3120_PV,,热低分油流量指示,TONNE/HR,180,0,FI3120.PV,RDI_HLU1
13,HLU1_FI3123B_PV,,P3103出口流量指示,TONNE/HR,11,0,FI3123B.PV,RDI_HLU1
14,HLU1_FI3128_PV,,K3102入口流量指示,NM3/HR,400000,0,FI3128.PV,RDI_HLU1
15,HLU1_FI3129_PV,,K3102反飞动管流量指示,NM3/HR,150000,0,FI3129.PV,RDI_HLU1
16,HLU1_FI3132_PV,,D3110入口氮气流量指示,NM3/HR,5000,0,FI3132.PV,RDI_HLU1
17,HLU1_FI3135_PV,,K3101B入口流量指示,NM3/HR,26000,0,FI3135.PV,RDI_HLU1
18,HLU1_FI3136_PV,,K3101C入口流量指示,NM3/HR,26000,0,FI3136.PV,RDI_HLU1
19,HLU1_FI3201_PV,,脱气塔进料量指示,TONNE/HR,210,0,FI3201.PV,RDI_HLU1
20,HLU1_FI3202_PV,,脱气塔顶泵出口流量指示,TONNE/HR,56,-10,FI3202.PV,RDI_HLU1
21,HLU1_FI3215_PV,,C3204进料流量指示,TONNE/HR,77,0,FI3215.PV,RDI_HLU1
22,HLU1_FI3217_PV,,C3203进料流量指示,TONNE/HR,55,0,FI3217.PV,RDI_HLU1
23,HLU1_FI3226_PV,,D3203气态烃流量指示,NM3/HR,60,-10,FI3226.PV,RDI_HLU1
24,HLU1_FI3233_PV,,P3209出口流量指示,TONNE/HR,84,0,FI3233.PV,RDI_HLU1
25,HLU1_FI3420_PV,,D3410入口流量指示,TONNE/HR,24,0,FI3420.PV,RDI_HLU1
26,HLU1_FIC3103_PV,,P-3102B入口流量调节,TONNE/HR,200,0,FIC3103.PV,RDI_HLU1
27,HLU1_FIC3104_PV,,P-3102A入流量调节,TONNE/HR,200,0,FIC3104.PV,RDI_HLU1
28,HLU1_FIC3105A_PV,,P-3102出口流量调节,TONNE/HR,200,0,FIC3105A.PV,RDI_HLU1
29,HLU1_FIC3108_PV,,F3101燃料气支管流量调节,NM3/HR,2000,0,FIC3108.PV,RDI_HLU1
30,HLU1_FIC3109_PV,,F3101燃料气支管流量调节,NM3/HR,1200,0,FIC3109.PV,RDI_HLU1
31,HLU1_FIC3123A_PV,,P3103出口流量调节,TONNE/HR,11,0,FIC3123A.PV,RDI_HLU1
32,HLU1_FIC3126_PV,,冷低分油流量控制,TONNE/HR,65,0,FIC3126.PV,RDI_HLU1
33,HLU1_FIC3127_PV,,反应系统废氢排放控制,NM3/HR,3500,0,FIC3127.PV,RDI_HLU1
